en,ru,nl,es,de,fr
three,три,drie,tres,drei,trois
to drink,пить,drinken,para beber,zu trinken,à boire
to dream,мечтать,dromen,soñar,zu träumen,rêver
dry,сухой,droog,seco,trocken,sec
"dry, wet","сухой, влажный","droog, nat","seco, húmedo","trocken, nass","sec, humide"
dream,мечта,de droom,sueño,Traum,rêve
pressure,давление,de druk,presión,Druck,pression
double,двойной,dubbel,doble,doppelt,double
clearly,ясно,duidelijk,claramente,eindeutig,clairement
thin,тонкий,dun,fino,dünn,mince
to last,до последнего,duren,hasta el final,bis zuletzt,pour durer
so (conclusion),так (вывод),dus,así (conclusión),so (Schlussfolgerung),donc (conclusion)
expensive,дорогой,duur,caro,teuer,coûteux
transverse,поперечный,dwars,transversal,quer,transversal
however,однако,toch,sin embargo,jedoch,cependant
economy,экономика,de economie,economía,Wirtschaft,économie
a,a,een,a,a,a
a couple,пара,een paar,una pareja,ein Paar,un couple
a while,некоторое время,een poos,un tiempo,eine Weile,un moment
once,однажды,eenmaal,una vez,einmal,une fois
simple,простой,eenvoudig,simple,einfach,simple
honor,честь,de eer,honor,ehren,honneur
earlier,ранее,eerder,antes,früher,plus tôt
first,первый,eerst,primero,erste,premier
century,век,de eeuw,siglo,Jahrhundert,siècle
effect,эффект,het effect,efecto,Wirkung,effet
own,собственный,eigen,propio,eigene,propre
owner,владелец,de eigenaar,propietario,Eigentümer,propriétaire
actually,на самом деле,eigenlijk,en realidad,eigentlich,en fait
charachteristic,характристика,de eigenschap,característico,charachteristisch,charactéristique
island,остров,het eiland,isla,Insel,île
end,конец,het eind,fin,Ende,fin
finally,наконец-то,tenslotte,finalmente,schließlich,enfin
endless,бесконечный,eindeloos,sin fin,endlos,sans fin
to end,заканчивать,eindigen,para terminar,zu beenden,pour terminer
demand,спрос,de eis,demanda,Nachfrage,demande
each,каждый,elk,cada,jede,chacun
emotion,эмоции,de emotie,emoción,Gefühl,émotion
emotional,эмоциональный,emotioneel,emocional,emotional,émotionnel
and,и,en,y,und,et
energy,энергия,de energie,energía,Energie,l'énergie
english,английский,Engels,inglés,Englisch,anglais
enormous,огромный,enorm,enorme,riesig,énorme
there (exists),есть (существует),er,existe,dort (existiert),il (existe)
somewhere,где-то,ergens,en algún lugar,irgendwo,quelque part
serious,серьезный,serieus,serio,seriös,grave
experience,опыт,de ervaring,experiencia,erleben,expérience
to eat,есть,eten,para comer,zu essen,manger
for a while,на некоторое время,even,por un tiempo,eine Zeit lang,pendant un certain temps
balance,баланс,het evenwicht,saldo,Bilanz,équilibre
experiment,эксперимент,het experiment,experimento,Experiment,expérience
factory,завод,de fabriek,fábrica,Werk,usine
factor,фактор,de factor,factor,Faktor,facteur
family,семья,het gezin,familia,Familie,famille
phase,фаза,de fase,fase,Phase,phase
party,вечеринка,het feest,fiesta,Partei,parti
fact,факт,het feit,hecho,Tatsache,fait
bicycle,велосипед,de fiets,bicicleta,Fahrrad,bicyclette
figure,рисунок,de figuur,Figura,Abbildung,chiffre
nice,хороший,fijn,bonito,schön,agréable
movie,фильм,de film,película,Film,film
financial,финансы,financieel,financiero,Finanzen,financière
bottle,бутылка,de fles,botella,Flasche,bouteille
hefty,большой,flink,fuerte,.,lourd
to formulate,формулировать,formuleren,formular,zu formulieren,formuler
photo,фото,de foto,foto,Foto,photo
mistake,ошибка,de fout,error,Fehler,erreur
fruit,фрукты,de vrucht,fruta,Obst,fruits
function,функция,de functie,función,Funktion,fonction
fundamentally,в корне,fundamenteel,fundamentalmente,grundlegend,fondamentalement
to go,идти,gaan,ir,zum Mitnehmen,pour aller
corridor,коридор,de gang,pasillo,Korridor,couloir
guest,гость,de gast,invitado,Gast,invité
hole,отверстие,het gat,agujero,Loch,trou
soon,скоро,gauw,pronto,bald,bientôt
area,область,het gebied,zona,Bereich,zone
born,родился,geboren,nacido,geboren,nés
building,здание,het gebouw,edificio,Gebäude,bâtiment
to use,использовать,gebruiken,utilizar,zu verwenden,à utiliser
thought,мысль,de gedachte,pensamiento,Gedanken,pensée
poem,стихотворение,het gedicht,poema,Gedicht,poème
behaviour,поведение,het gedrag,comportamiento,Verhalten,comportement
give,дать,geef,dé,geben.,donner
yellow,желтый,geel,amarillo,gelb,jaune
whole,целиком,geheel,todo,ganz,entier
secret,секрет,het geheim,secreto,geheim,secret
memory,память,het geheugen,memoria,Speicher,mémoire
crazy,сумасшедший,gek,loco,verrückt,fou
money,деньги,het geld,dinero,Geld,argent
ago,назад,geleden,hace,vor,il y a
opportunity,возможность,de kans,oportunidad,Gelegenheit,opportunité
equal,равный,gelijk,igual,gleich,égal
"faith, belief","вера, убеждения",het geloof,"fe, creencia","Glaube, Überzeugung","foi, croyance"
sound,звук,het geluid,sonido,Klang,son
luck,удача,het geluk,suerte,Glück,chance
ease,легкость,het gemak,facilidad,erleichtern,faciliter
easy,легко,makkelijk,fácil,einfach,facile
mean,среднее,gemeen,media,mittlere,moyen
generation,поколение,de generatie,generación,Generation,génération
enough,достаточно,voldoende,suficiente,genug,assez
history,история,de geschiedenis,historia,Geschichte,l'histoire
conversation,разговор,het gesprek,conversación,Gespräch,conversation
smell,запах,de geur,oler,riechen,odeur
danger,опасность,het gevaar,peligro,Gefahr,danger
dangerous,опасно,gevaarlijk,peligroso,gefährlich,dangereux
case,случай,het geval,caso,Fall,cas
"jail, prison","тюрьма, тюрьма",de gevangenis,"cárcel, prisión","Gefängnis, Gefängnis","prison, prison tout court"
to give,давать,geven,dar,zu geben,donner
feeling,ощущение,het gevoel,sensación,Gefühl,sentiment
violence,насилие,het geweld,violencia,Gewalt,la violence
"awesome, great","потрясающий, великолепный",geweldig,"impresionante, genial","großartig, großartig","génial, excellent"
just,просто,net,sólo,nur,juste
usually,обычно,gewoonlijk,normalmente,in der Regel,généralement
habit,привычка,de gewoonte,hábito,Gewohnheit,habitude
authority,авторитет,het gezag,autoridad,Behörde,l'autorité
cozy,уютный,gezellig,acogedor,Gemütlich,douillet
face,лицо,het gezicht,cara,Gesicht,visage
healthy,здоровый,gezond,saludable,gesund,sain
"healthy, sick","здоровый, больной","gezond, ziek","sano, enfermo","gesund, krank","en bonne santé, malade"
health,здоровье,de gezondheid,salud,Gesundheit,la santé
glass,стекло,het glas,vidrio,Glas,verre
smile,улыбка,de glimlach,sonríe,Lächeln,sourire
religion,религия,de godsdienst,religión,Religion,religion
good,хорошо,goed,bien,gut,bon
"good, bad","хороший, плохой","goed, slecht","bueno, malo","gut, schlecht","bon, mauvais"
goods,товары,de goederen,mercancías,Waren,biens
cheap,дешевые,goedkoop,barato,billig,bon marché
"cheap, expensive","дешёвый, дорогой","goedkoop, duur","barato, caro","billig, teuer","bon marché, cher"
wave,волна,de golf,onda,Welle,vague
curtains,шторы,de gordijnen,cortinas,Vorhänge,rideaux
golden,золотой,gouden,dorado,goldene,doré
gladly,с удовольствием,graag,Con mucho gusto,gerne,volontiers
grass,трава,het gras,hierba,Gras,herbe
grip,захват,de greep,agarre,Griff,poignée
border,граница,de grens,frontera,Grenze,frontière
gray,серый,grijs,gris,grau,gris
growth,рост,de groei,crecimiento,Wachstum,croissance
to grow,расти,groeien,crecer,zu wachsen,se développer
green,зеленый,groen,verde,grün,vert
group,группа,de groep,grupo,Gruppe,groupe
"big, small","большой, маленький","groot, klein","grande, pequeño","groß, klein","grand, petit"
favorable,благоприятный,gunstig,favorable,Günstig,favorable
her,ее,haar,su,ihre,son
rush,спешите,de haast,prisa,Eile,jonc
half,половина,de helft,medio,halb,moitié
neck,шея,de nek,cuello,Nacken,cou
hand,рука,de hand,mano,Hand,main
act,акт,de handeling,actuar,handeln,acte
hard,твердый,hard,duro,hart,dur
"hard, soft","твёрдый, мягкий","hard, zacht","duro, blando","hart, weich","dur, doux"
heart,сердце,het hart,corazón,Herz,cœur
to have,иметь,hebben,tener,zu haben,d'avoir
very,очень,"zeer, heel",muy,sehr,très
away,прочь,weg,fuera,weg,à l'extérieur
delicious,вкусно,heerlijk,delicioso,lecker,délicieux
hot,горячая,heet,caliente,heiß,chaud
completely,полностью,helemaal,completamente,vollständig,complètement
to help,помогать,helpen,para ayudar,zu helfen,pour aider
him,ему,hem,le,er,lui
to repeat,повторять,herhalen,repetir,zu wiederholen,répéter
reminder,напоминание,de herinnering,recordatorio,Erinnerung,rappel
it,это,het,it,es,il
"the same, different","одинаковый, разный","hetzelfde, anders","lo mismo, diferente","dasselbe, anders","identiques, différents"
hill,холм,de heuvel,colina,Hügel,colline
here,здесь,hier,aquí,hier,ici
he,он,hij,he,er,il
historical,исторический,historisch,histórico,historisch,historique
how,как,hoe,cómo,wie,comment
hat,шляпа,de hoed,sombrero,Hut,chapeau
corner,угол,de hoek,esquina,Ecke,coin
to need to,нуждаться в,hoeven,necesitar,"brauchen, um",pour avoir besoin de
Holland,Голландия,Holland,Holanda,Holland,Pays-Bas
dog,собака,de hond,perro,Hund,chien
hungry,голодный,de honger,hambriento,hungrig,affamés
head,глава,het hoofd,cabeza,Kopf,tête
high,высокий,hoog,alta,hoch,élevé
"high, low","высокий, низкий","hoog, laag","alto, bajo","hoch, niedrig","haut, bas"
height,высота,de hoogte,altura,Höhe,hauteur
pile,свая,de hoop,pila,Stapel,pile
to hope,надеяться,hopen,a la esperanza,zu hoffen,pour espérer
to hear,слышать,horen,escuchar,zu hören,entendre
hotel,отель,het hotel,hotel,Hotel,hôtel
"to keep, hold","хранить, держать",houden,"guardar, retener","behalten, halten","garder, tenir"
attitude,отношение,de houding,actitud,Einstellung,attitude
house,дом,de woning,casa,Haus,maison
help,помощь,de hulp,ayuda,Hilfe,aider
hut,хижина,de hut,cabaña,Hütte,hutte
wedding,свадьба,het huwelijk,boda,Hochzeit,mariage
ideal,идеальный,het ideaal,ideal,ideal,idéal
idea,идея,het idee,idea,Idee,idée
everyone,все,iedereen,todo el mundo,alle,tout le monde
someone,кто-то,iemand,alguien,jemand,quelqu'un
I,I,ik,I,I,I
in,в,in,en,in,en
indeed,действительно,inderdaad,en efecto,in der Tat,en effet
individual,индивидуально,het individu,individual,individuell,individuel
individually,индивидуально,individueel,individualmente,individuell,individuellement
impression,впечатление,de indruk,impresión,Abdruck,impression
information,информация,de informatie,información,Informationen,l'information
initiative,инициатива,het initiatief,iniciativa,Initiative,initiative
to hand in,сдавать,inleveren,entregar,zum Einreichen,à remettre
in the meantime,тем временем,inmiddels,mientras tanto,in der Zwischenzeit,entre-temps
to get in,попасть,instappen,para entrar,zum Einsteigen,pour entrer
instrument,инструмент,het instrument,instrumento,Instrument,instrument
interesting,интересно,interessant,interesante,interessant,intéressant
to be interested,интересоваться,interesseren,estar interesado,interessiert zu sein,s'intéresser
international,международный,internationaal,internacional,international,internationale
meanwhile,Тем временем,intussen,mientras tanto,Inzwischen,entre-temps
influence,влияние,de invloed,influencia,Einfluss,influence
yes,да,ja,sí,ja,oui
year,год,het jaar,año,Jahr,année
unfortunately,к сожалению,jammer,por desgracia,leider,malheureusement
jacket,куртка,de jas,chaqueta,Jacke,veste
"you (single, informal, subject)",,je,,,
youth,молодежь,de jeugd,jóvenes,Jugend,la jeunesse
yourself,себя,jezelf,usted mismo,selbst,toi-même
"you (single, informal, stressed)",,jij,,,
you,вы,,tú,Sie,vous
young,молодой,jong,joven,junge,jeune
"young, old","молодой, старый","jong, oud","joven, viejo","jung, alt","jeunes, vieux"
young man,молодой человек,de jongeman,joven,junger Mann,jeune homme
"you (informal, indirect object)",,jou,,,
"right, correct","правильно, правильно",juist,"correcto, correcto","richtig, richtig","juste, correct"
you (plural),,jullie,vosotros (plural),,
june,июнь,juni,junio,juni,juin
dress,платье,de jurk,vestido,Kleid,robe
cheese,сыр,de kaas,queso,Käse,fromage
calm,спокойствие,kalm,calma,ruhig,calme
room,комната,de kamer,habitación,Zimmer,chambre
camp,лагерь,het kamp,campamento,Lager,camp
side,сторона,de kant,lateral,Seite,côté
office,офис,het kantoor,oficina,Büro,bureau
broken,сломанный,kapot,roto,gebrochen,cassé
character,персонаж,het karakter,carácter,Zeichen,caractère
closet,шкаф,de kast,armario,Kleiderschrank,placard
cat,кот,de kat,cat,Katze,chat
throat,горло,de keel,garganta,Kehle,gorge
times,раз,de keer,veces,mal,fois
characteristics,характеристики,de kenmerken,características,Eigenschaften,caractéristiques
to know,знать,weten,saber,zu wissen,savoir
church,церковь,de kerk,iglesia,Kirche,église
core,ядро,de kern,núcleo,Kernstück,noyau
kitchen,кухня,de keuken,cocina,Küche,cuisine
choice,выбор,de keuze,elección,Auswahl,choix
to select,чтобы выбрать,kiezen,para seleccionar,zum Auswählen,pour sélectionner
to look,смотреть,kijken,mirar,zu schauen,regarder
kilometers,километры,de kilometer,kilómetros,Kilometer,kilomètres
child,ребенок,het kind,niño,Kind,enfant
ready,готово,klaar,listo,bereit,prêt
complaint,жалоба,de klacht,reclamación,Beschwerde,plainte
customer,клиент,de klant,cliente,Kunde,client
blow,дуть,de klap,soplar,blasen,souffler
class,класс,de klas,clase,Klasse,classe
classic,классика,klassiek,clásico,klassisch,classique
carpet,ковер,het kleed,alfombra,Teppich,tapis
small,маленький,klein,pequeño,klein,petit
clothes,одежда,de kleren,ropa,Kleidung,vêtements
color,цвет,de kleur,color,Farbe,couleur
to climb,подняться,klimmen,escalar,zum Klettern,pour grimper
good looking,хорошо выглядящий,knap,buen aspecto,gut aussehend,belle apparence
knee,колено,de knie,rodilla,Knie,genou
cool,прохладный,koel,genial,cool,cool
suitcase,Чемодан,de koffer,maleta,Koffer,valise
coffee,кофе,de koffie,café,Kaffee,café
to come,приехать,komen,por venir,zu kommen,à venir
king,король,de koning,rey,König,roi
queen,королева,de koningin,reina,Königin,reine
headline,заголовок,de kop,titular,Schlagzeile,titre
to buy,покупать,kopen,comprar,zu kaufen,acheter
short,короткие,kort,corto,kurz,court
to cost,к стоимости,kosten,al coste,zu den Kosten,au coût
cold,холод,koud,frío,kalt,froid
power,мощность,de macht,potencia,Macht,pouvoir
powerful,мощный,krachtige,potente,leistungsstarke,puissant
"to get, receive","получать, получать",krijgen,"obtener, recibir","bekommen, erhalten","obtenir, recevoir"
circle,круг,de kring,círculo,Kreis,cercle
cross,крест,het kruis,cruz,Kreuz,croiser
"can, to be able to","может, чтобы быть в состоянии",kunnen,"puede, ser capaz de","können, um in der Lage zu sein","pouvoir, être en mesure de"
artist,художник,de kunstenaar,artista,Künstler,artiste
coast,побережье,de kust,costa,Küste,côte
quality,качество,de kwaliteit,calidad,Qualität,qualité
lost,потерянный,kwijt,perdido,verloren,perdue
low,низкий,laag,bajo,niedrig,faible
late,поздно,laat,tarde,spät,tardive
last,последний,laatste,último,zuletzt,dernier
to laugh,смеяться,lachen,reír,zu lachen,rire
landscape,ландшафт,het landschap,paisaje,Landschaft,paysage
long,длинный,lang,largo,lang,long
"tall, short","высокий, низкий","lang, kort","alto, bajo","groß, klein","grand, petit"
along,вдоль,langs,a lo largo de,entlang,le long de
to pass by,проходить мимо,langskomen,pasar de largo,zum Vorbeigehen,passer à côté
slowly,медленно,langzaam,lentamente,langsam,lentement
"slow, fast","медленно, быстро","langzaam, snel","lento, rápido","langsam, schnell","lent, rapide"
burden,бремя,de last,carga,Belastung,charge
to let,позволить,laten,dejar,zu vermieten,de laisser
later,позже,later,más tarde,später,plus tard
age,возраст,de leeftijd,edad,Alter,âge
empty,пустой,leeg,vacío,leer,vide
leather,кожа,de leer,cuero,Leder,cuir
pupil,ученик,de leerling,alumno,Schülerin,élève
to lead,руководить,leiden,para dirigir,zu führen,pour diriger
leader,лидер,de leider,líder,Anführer,chef de file
leadership,лидерство,de leiding,liderazgo,Führung,leadership
"tasty, nice","вкусно, красиво",lekker,"sabroso, agradable","lecker, schön","savoureux, agréable"
"tasty, disgusting","вкусный, отвратительный","lekker, vies","sabroso, asqueroso","schmackhaft, ekelerregend","savoureux, dégoûtant"
ugly,Уродливый,lelijk,feo,hässlich,mocheté
to borrow,брать в долг,lenen,pedir prestado,zu leihen,emprunter
teacher,учитель,de leraar,profesor,Lehrer,enseignant
to learn,учиться,leren,para aprender,zu lernen,apprendre
fun,веселье,leuk,divertido,Spaß,amusant
to live,жить,leven,para vivir,zu leben,vivre
to deliver,доставлять,leveren,entregar,zu liefern,à délivrer
to read,читать,lezen,leer,zu lesen,lire
body,тело,het lichaam,cuerpo,Körper,corps
light,свет,het licht,luz,Licht,lumière
member,член,het lid,miembro,Mitglied,membre
sweet,сладкий,zoet,dulce,süß,doux
love,любовь,de liefde,amor,Liebe,amour
most preferably,предпочтительно,liefst,preferiblemente,am liebsten,de préférence
to lie,лгать,liggen,mentir,zu lügen,mentir
corpse,труп,het lijk,cadáver,Leichnam,cadavre
list,список,de lijst,lista,Liste,liste
left,слева,links,izquierda,links,gauche
lip,губы,de lip,labio,Lippe,lèvre
literature,литература,de literatuur,literatura,Literatur,littérature
logical,логический,logisch,lógico,logisch,logique
to walk,ходить,lopen,caminar,zu Fuß,marcher
loose,свободный,los,suelto,lose,en vrac
sky,небо,de lucht,cielo,Himmel,ciel
to listen,слушать,luisteren,escuchar,zuhören,écouter
lieutenant,лейтенант,de luitenant,teniente,Leutnant,lieutenant
